Number of variables,Number of clauses,result 1/2,time 1/2,result LSU interrupted
9,500,452,0.05909371376037598,454
9,600,545,0.05798673629760742,549
9,600,541,0.06095266342163086,544
9,600,544,0.057367563247680664,544
9,600,535,0.05908203125,547
9,600,541,0.05747532844543457,543
9,700,628,0.06731653213500977,635
9,700,634,0.06899833679199219,639
9,700,624,0.06885981559753418,638
9,700,640,0.06828069686889648,640
9,700,623,0.0679769515991211,629
9,800,722,0.07908034324645996,722
9,800,712,0.07740592956542969,719
9,800,726,0.07680368423461914,726
9,800,724,0.07649040222167969,726
9,800,718,0.07757854461669922,721
9,900,808,0.08709430694580078,815
9,900,813,0.08646535873413086,814
9,900,808,0.08852744102478027,818
9,900,809,0.08584475517272949,812
9,900,810,0.08889317512512207,810
11,100,93,0.012180805206298828,97
11,100,96,0.012300729751586914,97
11,100,95,0.011811256408691406,98
11,100,97,0.011964797973632812,97
11,100,92,0.012150049209594727,96
11,200,188,0.024052858352661133,190
11,200,186,0.023646116256713867,188
11,200,188,0.02389383316040039,193
11,200,187,0.02587294578552246,191
11,200,186,0.025926589965820312,187
11,300,275,0.03592967987060547,280
11,300,279,0.03585672378540039,281
11,300,275,0.034853458404541016,279
11,300,274,0.03527498245239258,279
11,300,279,0.03577423095703125,280
11,400,367,0.05135512351989746,367
11,400,364,0.047739505767822266,367
11,400,370,0.04642772674560547,370
11,400,372,0.04794120788574219,374
11,400,363,0.09400200843811035,367
11,500,455,0.0638723373413086,460
11,500,457,0.06088995933532715,457
11,500,459,0.058690786361694336,459
11,500,451,0.06003236770629883,463
11,500,456,0.05848979949951172,460
11,600,539,0.06932234764099121,551
11,600,551,0.06950902938842773,552
11,600,551,0.07278251647949219,553
11,600,548,0.06947088241577148,549
11,600,546,0.07277631759643555,550
11,700,631,0.08187198638916016,635
11,700,629,0.0832979679107666,632
11,700,631,0.08096194267272949,641
11,700,635,0.08127999305725098,636
11,700,632,0.0821523666381836,637
11,800,720,0.09259510040283203,726
11,800,718,0.09262895584106445,733
11,800,719,0.09603404998779297,725
11,800,727,0.09592604637145996,727
11,800,720,0.09337019920349121,727
11,900,819,0.10465741157531738,819
11,900,810,0.10854005813598633,811
11,900,815,0.10632443428039551,818
11,900,818,0.10658526420593262,818
11,900,819,0.10658931732177734,826
13,100,94,0.014465093612670898,99
13,100,96,0.014088153839111328,97
13,100,95,0.014030218124389648,97
13,100,95,0.014259099960327148,98
13,100,95,0.014077901840209961,99
13,200,187,0.029587745666503906,189
13,200,185,0.027790546417236328,191
13,200,190,0.03133559226989746,190
13,200,190,0.031662940979003906,190
13,200,183,0.02818441390991211,186
13,300,280,0.04108595848083496,287
13,300,277,0.044152021408081055,280
13,300,278,0.043665409088134766,282
13,300,280,0.04165530204772949,282
13,300,282,0.04249072074890137,284
13,400,367,0.05961108207702637,370
13,400,363,0.05743050575256348,375
13,400,366,0.06645774841308594,370
13,400,367,0.05452728271484375,371
13,400,371,0.05873298645019531,373
13,500,455,0.06900715827941895,463
13,500,450,0.06863236427307129,462
13,500,459,0.06943440437316895,464
13,500,461,0.07138347625732422,468
13,500,457,0.07123899459838867,462
13,600,545,0.08170342445373535,550
13,600,549,0.08289361000061035,550
13,600,543,0.08164191246032715,552
13,600,543,0.0835428237915039,559
13,600,548,0.08447742462158203,552
13,700,645,0.09612011909484863,645
13,700,631,0.09587287902832031,639
13,700,626,0.09945940971374512,643
13,700,641,0.09693455696105957,642
13,700,633,0.09751367568969727,638
13,800,729,0.10846519470214844,729
13,800,723,0.10808777809143066,728
13,800,715,0.10938620567321777,724
13,800,725,0.11091041564941406,728
13,800,731,0.11213946342468262,734
13,900,807,0.1219167709350586,820
13,900,812,0.12343740463256836,824
13,900,811,0.12151312828063965,815
13,900,812,0.1238851547241211,821
13,900,809,0.12330245971679688,813
15,100,96,0.016349077224731445,98
15,100,94,0.016799449920654297,98
15,100,94,0.017642736434936523,97
15,100,97,0.015856504440307617,97
15,100,95,0.016476154327392578,98
15,200,187,0.03214097023010254,190
15,200,191,0.0334162712097168,192
15,200,183,0.0344233512878418,190
15,200,189,0.03125262260437012,191
15,200,185,0.031217336654663086,191
15,300,277,0.05147147178649902,282
15,300,278,0.04976081848144531,282
15,300,278,0.04694676399230957,283
15,300,280,0.04770493507385254,284
15,300,280,0.04732227325439453,279
15,400,368,0.06298279762268066,370
15,400,365,0.0625770092010498,371
15,400,368,0.09154868125915527,376
15,400,370,0.06338095664978027,375
15,400,366,0.06383538246154785,374
15,500,461,0.0787816047668457,466
