Number of variables,Number of clauses,result 7/8,time 7/8,result LSU,time LSU,result LSU interrupted
7,500,452,0.03872966766357422,455,0.03405404090881348,455
7,500,453,0.03753948211669922,454,0.04699349403381348,454
7,600,548,0.04559755325317383,548,0.03836393356323242,548
7,600,554,0.04717683792114258,554,0.0476689338684082,554
7,600,544,0.10601401329040527,545,0.04783368110656738,545
7,600,542,0.047678470611572266,542,0.0445408821105957,542
7,600,539,0.04683852195739746,541,0.04542064666748047,541
7,700,625,0.05287933349609375,630,0.08023524284362793,630
7,700,628,0.05255603790283203,630,0.05390763282775879,630
7,700,629,0.054128170013427734,638,0.08503913879394531,638
7,700,626,0.05290484428405762,632,0.08992981910705566,632
7,700,624,0.05368757247924805,629,0.05898261070251465,629
7,800,726,0.06726360321044922,726,0.07853364944458008,726
7,800,716,0.06389689445495605,719,0.07928705215454102,719
7,800,713,0.06361222267150879,719,0.09585285186767578,719
7,800,724,0.05970597267150879,724,0.09714722633361816,724
7,800,717,0.06067824363708496,719,0.06367778778076172,719
7,900,813,0.0724029541015625,813,0.09096789360046387,813
7,900,808,0.06808686256408691,815,0.13219451904296875,815
7,900,808,0.06790375709533691,816,0.1266798973083496,816
7,900,799,0.07128429412841797,807,0.12561488151550293,807
7,900,804,0.07028055191040039,813,0.11184120178222656,813
9,100,96,0.010603666305541992,96,0.004157304763793945,96
9,100,94,0.010065078735351562,96,0.003337860107421875,96
9,100,95,0.00974726676940918,95,0.003751516342163086,95
9,100,95,0.009810686111450195,96,0.0024003982543945312,96
9,100,92,0.010596513748168945,95,0.0024652481079101562,95
9,200,187,0.0192410945892334,188,0.009872198104858398,188
9,200,186,0.018851041793823242,186,0.010033369064331055,186
9,200,186,0.019185304641723633,186,0.009481191635131836,186
9,200,186,0.020539045333862305,189,0.008660554885864258,189
9,200,187,0.019910335540771484,187,0.010982513427734375,187
9,300,275,0.02905130386352539,277,0.018678665161132812,277
9,300,275,0.028768301010131836,278,0.020514726638793945,278
9,300,273,0.029984235763549805,276,0.02185535430908203,276
9,300,275,0.02837371826171875,278,0.015447378158569336,278
9,300,278,0.029322385787963867,280,0.01932692527770996,280
9,400,362,0.04255247116088867,367,0.0325162410736084,367
9,400,366,0.037491798400878906,367,0.040227413177490234,367
9,400,366,0.038593292236328125,367,0.03358960151672363,367
9,400,360,0.03833723068237305,366,0.03292584419250488,366
9,400,363,0.038982391357421875,369,0.03721261024475098,369
9,500,457,0.04853653907775879,457,0.04223155975341797,457
9,500,450,0.047699928283691406,457,0.05521249771118164,457
9,500,458,0.04839015007019043,458,0.07167601585388184,458
9,500,449,0.04842042922973633,456,0.06337785720825195,456
9,500,460,0.05741119384765625,460,0.045847415924072266,460
9,600,542,0.05800175666809082,544,0.07109880447387695,544
9,600,544,0.05729794502258301,548,0.05466628074645996,548
9,600,550,0.06194663047790527,550,0.08620834350585938,550
9,600,546,0.05661749839782715,549,0.07390689849853516,549
9,600,553,0.05768585205078125,553,0.07682991027832031,553
9,700,633,0.07099747657775879,639,0.1022634506225586,639
9,700,641,0.06997847557067871,642,0.08181118965148926,642
9,700,629,0.06647205352783203,642,0.1018073558807373,642
9,700,637,0.06833839416503906,637,0.11461138725280762,637
9,700,635,0.06654787063598633,638,0.07785582542419434,638
9,800,715,0.07691335678100586,722,0.11474967002868652,722
9,800,716,0.07607674598693848,721,0.10415077209472656,721
9,800,724,0.07755422592163086,732,0.1347498893737793,732
9,800,715,0.07429146766662598,722,0.13380169868469238,722
9,800,719,0.07668471336364746,725,0.1265120506286621,725
9,900,809,0.08295583724975586,816,0.15749907493591309,816
9,900,811,0.08459353446960449,813,0.15268993377685547,813
9,900,813,0.08559179306030273,816,0.1439054012298584,816
9,900,819,0.08551406860351562,819,0.15460920333862305,819
9,900,805,0.08651542663574219,807,0.13600873947143555,807
11,100,94,0.012257575988769531,95,0.003988504409790039,95
11,100,94,0.011793136596679688,96,0.00423121452331543,96
11,100,96,0.011844396591186523,97,0.002320528030395508,97
11,100,95,0.01184225082397461,96,0.0032196044921875,96
11,100,96,0.013655900955200195,96,0.0027837753295898438,96
11,200,186,0.028403282165527344,191,0.013502836227416992,191
11,200,188,0.06479763984680176,188,0.03399038314819336,188
11,200,184,0.06194877624511719,189,0.024053096771240234,189
11,200,189,0.023204565048217773,192,0.014256477355957031,192
11,200,184,0.02337169647216797,187,0.016872644424438477,187
11,300,273,0.03587961196899414,280,0.035019874572753906,280
11,300,276,0.0344851016998291,279,0.05829191207885742,279
11,300,281,0.03504204750061035,282,0.024211406707763672,282
11,300,270,0.034774065017700195,277,0.03471851348876953,277
11,300,279,0.03552818298339844,279,0.03597235679626465,279
11,400,371,0.04567980766296387,371,0.06291842460632324,371
11,400,378,0.045381784439086914,379,0.04632282257080078,379
11,400,366,0.04598569869995117,372,0.054869890213012695,372
11,400,367,0.04657912254333496,367,0.06430268287658691,367
11,400,370,0.046553850173950195,370,0.06063723564147949,370
11,500,459,0.060582637786865234,461,0.07968783378601074,461
