Number of variables,Number of clauses,result 7/8,time 7/8,result RC2,time RC2
7,400,361,0.032549381256103516,366,0.00878596305847168
7,400,357,0.03293895721435547,361,0.016996383666992188
7,400,362,0.03281044960021973,367,0.009320497512817383
7,400,360,0.03278660774230957,363,0.012771844863891602
7,400,364,0.032135963439941406,367,0.00949716567993164
7,500,456,0.0430757999420166,456,0.012146711349487305
7,500,449,0.04133129119873047,455,0.013195991516113281
7,500,443,0.039899349212646484,455,0.012543678283691406
7,500,452,0.03980231285095215,455,0.010950803756713867
7,500,453,0.04101276397705078,454,0.014374494552612305
7,600,548,0.049976348876953125,548,0.012974023818969727
7,600,554,0.04971623420715332,554,0.011202335357666016
7,600,544,0.04765439033508301,545,0.01522517204284668
7,600,542,0.04962491989135742,542,0.01711130142211914
7,600,539,0.04819154739379883,541,0.025792360305786133
7,700,625,0.056321144104003906,630,0.027905941009521484
7,700,628,0.05803799629211426,630,0.03081345558166504
7,700,629,0.05637693405151367,638,0.021144628524780273
7,700,626,0.05667901039123535,632,0.021128416061401367
7,700,624,0.05813956260681152,629,0.032343149185180664
7,800,726,0.06441760063171387,726,0.02033090591430664
7,800,716,0.06367707252502441,719,0.04031252861022949
7,800,713,0.06764388084411621,719,0.026297807693481445
7,800,724,0.06465888023376465,724,0.028302669525146484
7,800,717,0.06506514549255371,719,0.03038620948791504
7,900,813,0.07580208778381348,813,0.030029296875
7,900,808,0.07134437561035156,815,0.0250396728515625
7,900,808,0.0722346305847168,816,0.026219606399536133
7,900,799,0.07419896125793457,807,0.031070709228515625
7,900,804,0.07123041152954102,813,0.029453754425048828
9,100,96,0.010596275329589844,96,0.0023605823516845703
9,100,94,0.01031494140625,96,0.0013697147369384766
9,100,95,0.010357141494750977,95,0.0015397071838378906
9,100,95,0.01040959358215332,96,0.001325845718383789
9,100,92,0.010365962982177734,95,0.0016410350799560547
9,200,187,0.019977092742919922,188,0.0035026073455810547
9,200,186,0.020956754684448242,186,0.006181955337524414
9,200,186,0.021563053131103516,186,0.005162239074707031
9,200,186,0.022080659866333008,189,0.003680706024169922
9,200,187,0.021143436431884766,187,0.004339456558227539
9,300,275,0.030976533889770508,277,0.010675430297851562
9,300,275,0.030979633331298828,278,0.007185697555541992
9,300,273,0.032343149185180664,276,0.009749412536621094
9,300,275,0.03283190727233887,278,0.00855708122253418
9,300,278,0.03250002861022949,280,0.00577545166015625
9,400,362,0.04139590263366699,367,0.013178825378417969
9,400,366,0.040605783462524414,367,0.016603946685791016
9,400,366,0.04153847694396973,367,0.019431114196777344
9,400,360,0.04470109939575195,366,0.02275252342224121
9,400,363,0.04127311706542969,369,0.016216754913330078
9,500,457,0.0533144474029541,457,0.03195834159851074
9,500,450,0.05295252799987793,457,0.03663134574890137
9,500,458,0.05223345756530762,458,0.027449607849121094
9,500,449,0.05323052406311035,456,0.039394378662109375
9,500,460,0.0517580509185791,460,0.020323991775512695
9,600,542,0.061728477478027344,544,0.04508018493652344
9,600,544,0.06432843208312988,548,0.04388308525085449
9,600,550,0.06199145317077637,550,0.02618098258972168
9,600,546,0.06199169158935547,549,0.03637528419494629
9,600,553,0.06331801414489746,553,0.013704776763916016
9,700,633,0.07339000701904297,639,0.04353761672973633
9,700,641,0.07476258277893066,642,0.03668546676635742
9,700,629,0.07196664810180664,642,0.018715381622314453
9,700,637,0.07311654090881348,637,0.06253862380981445
9,700,635,0.07322430610656738,638,0.06396150588989258
9,800,715,0.0881950855255127,722,0.13393926620483398
9,800,716,0.08120274543762207,721,0.14902949333190918
9,800,724,0.08524394035339355,732,0.04630756378173828
9,800,715,0.08355832099914551,722,0.10796499252319336
9,800,719,0.08455562591552734,725,0.08387136459350586
9,900,809,0.09366893768310547,816,0.08898711204528809
9,900,811,0.09348344802856445,813,0.13043928146362305
9,900,813,0.09080052375793457,816,0.07031059265136719
9,900,819,0.09558439254760742,819,0.059224843978881836
9,900,805,0.09423613548278809,807,0.27277088165283203
11,100,94,0.012945890426635742,95,0.0038733482360839844
11,100,94,0.012808084487915039,96,0.0018620491027832031
11,100,96,0.012407779693603516,97,0.0017881393432617188
11,100,95,0.012829780578613281,96,0.0015311241149902344
11,100,96,0.012466907501220703,96,0.0017511844635009766
11,200,186,0.025446414947509766,191,0.003538846969604492
11,200,188,0.02569413185119629,188,0.006558895111083984
11,200,184,0.02524709701538086,189,0.0049512386322021484
11,200,189,0.026779890060424805,192,0.003220796585083008
11,200,184,0.02663707733154297,187,0.011634111404418945
11,300,273,0.040120601654052734,280,0.011900663375854492
11,300,276,0.03832101821899414,279,0.019245147705078125
11,300,281,0.03870820999145508,282,0.010402917861938477
11,300,270,0.03812694549560547,277,0.050382137298583984
11,300,279,0.03836989402770996,279,0.024466514587402344
11,400,371,0.05113554000854492,371,0.046015024185180664
11,400,378,0.051799774169921875,379,0.008561134338378906
11,400,366,0.05212116241455078,372,0.027170181274414062
11,400,367,0.05051732063293457,367,0.07858872413635254
11,400,370,0.05199480056762695,370,0.06598877906799316
11,500,459,0.06502723693847656,461,0.07104349136352539
11,500,459,0.0684812068939209,459,0.10296750068664551
11,500,448,0.06431126594543457,456,0.2059018611907959
11,500,453,0.06371521949768066,459,0.09555435180664062
11,500,454,0.06334495544433594,458,0.15584301948547363
11,600,550,0.07577037811279297,555,0.08869552612304688
11,600,545,0.0806722640991211,552,0.12548446655273438
11,600,546,0.07479143142700195,550,0.08882832527160645
11,600,547,0.0790402889251709,548,0.22503900527954102
11,600,541,0.07576847076416016,552,0.05402660369873047
11,700,630,0.09345388412475586,642,0.09429383277893066
11,700,636,0.09087681770324707,636,0.20637941360473633
11,700,634,0.08780121803283691,636,0.40969395637512207
11,700,631,0.08761000633239746,642,0.11600708961486816
11,700,629,0.09209990501403809,634,0.5862126350402832
11,800,725,0.09936809539794922,729,0.32002973556518555
11,800,725,0.09860086441040039,725,0.6140797138214111
